,Feature,Gain,Cover,Frequency,Importance
1,up_order_rate,0.3064769129,0.0912616001,0.0386564526,0.3064769129
2,up_orders_since_last_order,0.2405820007,0.1245998416,0.064466706,0.2405820007
3,up_order_rate_since_first_order,0.1817637873,0.0800489418,0.0328815557,0.1817637873
4,up_orders,0.0986631265,0.0448360737,0.0273423689,0.0986631265
5,user_order_recency,0.0205313372,0.0592558307,0.0657631114,0.0205313372
6,prod_reorder_probability,0.0191564949,0.0387603873,0.0351208014,0.0191564949
7,user_reorder_ratio,0.019009835,0.059733005,0.0502062463,0.019009835
8,prod_reorder_prob2,0.0175755329,0.0253942638,0.0205067767,0.0175755329
9,prod_reorder_times,0.0124968004,0.024170078,0.0212139069,0.0124968004
10,time_since_last_order,0.0086780541,0.0254987924,0.0251031232,0.0086780541
11,up_reorder_ratio,0.0069392272,0.002619169,0.0018856806,0.0069392272
12,up_days_since_last_order,0.0049135934,0.0174176685,0.0194460813,0.0049135934
13,up_last_order,0.0039278724,0.0058554171,0.0094284031,0.0039278724
14,user_mean_days_since_prior,0.0037845289,0.0148917451,0.0280494991,0.0037845289
15,prod_mean_add_to_cart_order,0.0036765473,0.0102498656,0.0149675899,0.0036765473
16,ua_order_rate,0.0036212197,0.012534496,0.0150854449,0.0036212197
17,prod_orders,0.0027515236,0.0110649407,0.0159104302,0.0027515236
18,ua_order_rate_since_first_order,0.0027307092,0.0043263562,0.0088391279,0.0027307092
19,prod_penetration,0.0026118574,0.0153434675,0.0212139069,0.0026118574
20,aisle_reorder_times,0.0025991983,0.0076756442,0.0103712434,0.0025991983
21,prod_double_pntr,0.0025381609,0.0092263735,0.0139068945,0.0025381609
22,user_period,0.0023425972,0.0171228439,0.0160282852,0.0023425972
23,user_average_basket,0.0021054624,0.0308224341,0.0232174425,0.0021054624
24,prod_days_since_prior,0.0018957856,0.0084127758,0.0179139658,0.0018957856
25,user_org_ratio,0.0018733962,0.0168351408,0.0269888038,0.0018733962
26,up_average_cart_position,0.0017249718,0.0280749003,0.0146140247,0.0017249718
27,up_rate_since_first_order,0.001524241,0.0180063065,0.0166175604,0.001524241
28,dep_reorder_probability,0.0014700263,0.006897931,0.0088391279,0.0014700263
29,aisle_days_since_prior,0.0014357049,0.0098601147,0.0149675899,0.0014357049
30,up_first_order,0.001295204,0.0114892532,0.0087212728,0.001295204
31,user_distinct_products,0.0010808065,0.0085613201,0.0172068356,0.0010808065
32,ud_order_rate,0.0010145053,0.0063242022,0.0082498527,0.0010145053
33,ud_order_rate_since_first_order,0.000913536,0.0113161174,0.0068355922,0.000913536
34,aisle_reorder_probability,0.0009075674,0.0054790627,0.0070713023,0.0009075674
35,ua_orders_since_last_order,0.000889154,0.0210985998,0.0095462581,0.000889154
36,X15,0.0007010458,0.005848513,0.0120212139,0.0007010458
37,X28,0.0006066831,0.0043493723,0.0100176783,0.0006066831
38,ua_reorder_ratio,0.0005587217,0.0005532175,0.002946376,0.0005587217
39,X20,0.0005417358,0.0050910945,0.0095462581,0.0005417358
40,X17,0.0005133997,0.0056633012,0.0080141426,0.0005133997
41,ua_rate_since_first_order,0.000512104,0.0041066945,0.0102533883,0.000512104
42,X14,0.0005017189,0.0068553442,0.0064820271,0.0005017189
43,ud_rate_since_first_order,0.000478595,0.0013013394,0.0088391279,0.000478595
44,X4,0.0004682191,0.0054895736,0.0067177372,0.0004682191
45,X3,0.0004613542,0.0017871528,0.0078962876,0.0004613542
46,X11,0.0004397552,0.002908498,0.009310548,0.0004397552
47,X22,0.0004343403,0.0070859318,0.0087212728,0.0004343403
48,ud_days_since_last_order,0.0004260305,0.0035635789,0.0068355922,0.0004260305
49,X0,0.0004217439,0.005595342,0.0075427225,0.0004217439
50,X6,0.0004155029,0.0029371326,0.0078962876,0.0004155029
51,X25,0.0003834271,0.0017629483,0.0063641721,0.0003834271
52,X26,0.0003770701,0.0035669858,0.0077784325,0.0003770701
53,X27,0.0003729754,0.0009122448,0.0068355922,0.0003729754
54,X18,0.000359341,0.0053853112,0.0068355922,0.000359341
55,X7,0.0003592825,0.0028320009,0.0077784325,0.0003592825
56,X8,0.0003573856,0.0007312811,0.0082498527,0.0003573856
57,X21,0.0003531974,0.0039110906,0.0058927519,0.0003531974
58,X2,0.0003522046,0.0019349751,0.0068355922,0.0003522046
59,X9,0.0003510196,0.0040790644,0.0071891573,0.0003510196
60,ua_days_since_last_order,0.0003278695,0.0021458568,0.0056570418,0.0003278695
61,X29,0.0003276753,0.0017823134,0.006010607,0.0003276753
62,X16,0.0003240871,0.0011813616,0.0068355922,0.0003240871
63,X13,0.0003176525,0.0029784833,0.0056570418,0.0003176525
64,X19,0.0003069962,0.0034687725,0.0064820271,0.0003069962
65,X12,0.0003018977,0.0025052346,0.0064820271,0.0003018977
66,X1,0.0002995826,0.0032906606,0.0056570418,0.0002995826
67,X24,0.0002942797,0.0013185248,0.006246317,0.0002942797
68,X10,0.0002786305,0.0029912376,0.0057748969,0.0002786305
69,X31,0.0002619095,0.0005614379,0.0056570418,0.0002619095
70,X23,0.0002517552,0.0028764761,0.0055391868,0.0002517552
71,X5,0.0002321169,0.0006529249,0.0051856217,0.0002321169
72,X30,0.0002274151,0.0009297673,0.0048320566,0.0002274151
