order_id,products
17,13107 21463
34,2596 47766 47792 39475 16083 44663 13176
137,25890 44422 5134 23794 24852 2326 29594 41787
182,5479 33000 39275 32109 47672 9337
257,27104 29837 37646 39475 49235 24852 35734 30233 47547 27966
313,12779 13198 21903 28535 30391 46906 45007
353,40688 35561
386,15872 22124 47766 21479 38281 45066 17652 39180 8174 37935 25513 30450 24852 35221 2326 40759 4920 42265 28985 6046
414,27705 20564 31215
418,13702 40268 5262 45364 47766 30489
437,26790 5769 47209 4589 1463 13176
452,30336 5262 17948 6046 27553 19370 30388 27966 40386 4421 44632 36313 23644 32989 2923 13166 12020 13176 28666 25340 36606 36735
474,None
492,45603 24933 37766 14833 32360 46667 26604 43086 10383 33232 21137 24852 28918 44632
497,31964 39947 27275 1831
513,None
517,8193 25890 9071 48679 8424 31371 13198 21903 2452 24184 27355 32734
604,19660 12099 24852 16797
680,30441 11908 14836 7743
758,651
759,449 4290 20553 27460 15269 39527 5612 31660 14444 26209 24398 6770 24852 47766 15969 1752 44697 34841 14651 46654 16959
887,24852 41290 49683 28204 25647
1161,20608 26209 47626 44142 31506 22935
1195,22275 2707 13870
1304,22035 24852
1408,1158 47912 47209 47626 2091 16428 32433 10163 46676 43352 32857 4605
1513,5385
1564,25169
1727,12218 40310 28710
1789,29694
1802,44514 33796 17830 3111 2024 47209 16525 18382 21709 42736 34824 20114 13076 35221 4920 34969 890 22289
1809,280 5258
1810,6182 19660 45007 14355 4862 30559
1867,27307 31911 6568 5451 22317 14992 36926
1932,34969 30668 21903 24964 35417
1962,21873
2034,27104 26209 9387 25540 18465 47209 47626 26283 42637 15950 9839 20114 49075 33527 13944 19678
2070,47144 9076 39322 24852 5535
2102,5769 8057 16281
2184,47209 26914 29447
2247,21313 18234 7419 11422 44359
2267,46088 38569
2297,None
2345,32689 42803 37141 46807 4920 16282
2421,6400 10753 35842 36493 20114 49683 5015 44570 39071 2592 12193 11182 28465 21938 46902 43961 13409 13263 21462 25817 34270 24799 26209 8548 33898 14452
2481,42368 18176 36651 19046 6343 30795 17779 24852 27573 23288 20564 47196 43421 28373
2671,42828 30850 30884 25466 38798
2721,43814 12817 33129 45 21137 1106 4086 43772
2806,22866 10957 36685 47031
2887,23554
2990,5100
3013,28842 34358
3188,26856 13176 38988 16757 21137
3221,9825 24964 4037 48775 3849 45578 35883 21903 32850 30142 30391 47626 27966
3223,13984 11777 32387 39812 28745 15626 36011 34668 365 14702 24852 8277 30391 4920 28156 46847
3265,35914 24852 15258 27020 5884
3344,3616 13966 32637 47058 16953 12911 41277
3373,45154 33754
3384,21137 29506 40691 33802
3408,1090 21267 22164 47626 5479
3507,33000 42450
3519,7179
3587,15424 40545 13287 40332 11885 7215 10613 13176 9535 46941 38079
3702,9465 31066 28571 47185
3724,12174
3732,21616 21137 24852 29077
3839,8193 27845 35629 12206 34969
3866,5077 27903
3867,49508 28682 1132 32303 42193 15412 25817 42620
3870,35470
3962,38016 38154
3981,4920 25466 25340 3765 22959
4002,311
4055,34499 45221 47209 11182 7228 31668 30391 40604 20767
4065,5818 44142 9839
4133,45570 24964 39180 36011 48940 43789 13176 15290 41950
4144,27104 39040 5764 27845 28199 48745 5578 21739 30391 48628 5077 24535 39877
4353,9605 5258 38929 43026 41148 35609 40348 16415 22695 21292 21679 38192 10312 48946 35124 2234 27323 14780 44479 38593 40648 47570 46676 18394 6236 27360 47337 25070 36214 760
4372,17600 27323 42342 5959 18200 49235 24852 46584 15995 16350
4396,39488 30183 4329 14890 6187 27086 49235 1940 47626
4458,27248 45954 29093 48144 26209 36425 44042 29675 7628 5456 9076 35561 24852 44765 46654
4462,385 32520 26505 24748 39859 16185 4313
4551,26209 41220 49383 28553 14764 47630 43858 24852 25659 23165 27966
4579,15324 2180
4602,31553 29898 21938 47766 5818 29950
4655,21137 35594 12492 8021 30529
4686,26882 41763 13733 33548 44968 169 37803 35948 2639 24852 39993 37849 5727
4848,27695
4917,38408 31562 28494 39732 7830 39001 29439
5007,43154
5011,4210 24852 12909 9106 37895
5041,41787 24852 44910
5058,28427 26709 14783
5082,43875 48007 29418 39275 37464 33719 13176
5095,6340 45061 4006 19051 29615 38200
5109,17313 8571 6184 42282 25588 43352 33147 31805
5128,21608
5166,10912 11777 14947 33037 28199 47626 5132 13517 21709 17553 24852 48726 44632
5216,4605
5349,15777 7883 36431
5366,47717 47209 42903 22227 5876 10551 13176 12858
5400,None
5415,6729 5258 42500 37710
5525,22935 27086 34335
5918,49683 18465 46979
5921,47209 18465
5989,39040 28071 47209 36397 15950 19057 24852 35547 41950 26047
6067,17794 46979 260 47626 7054 11408 21137 24852 47766 26790 4793 41787 11068 45066 46667 48205 15950 10831 16083 43352 30169 41950 18656 14992 31717 44661
6073,6184
6100,5161 29794 12427 196 46149
6104,21137 41453
6138,10106
6222,28842 24933
6275,38672 46749
6313,42240 45188 44359 38890 26604 47890 24852 19348 23322 28842 44799
6346,19204 9092 42244 25225 37646 21616 47766 11913 42585
6482,42731
6490,17008 3594
6506,47209
6530,13176 45066
6533,9762 25146 43772 47141 34358
6535,29091 11844 37739 14126 47119 17397 37156 9124
6645,34841 36227 196 22395 22086
6718,20323 31371 26096 45763 17652 12341 2078 17461
6751,13176 27845 19478 32303
6763,40706 29059 3717 26634 29195 48140 10895 24852 47766 30489 34969 28458 31533 10292 38456 4410 48577 27845 47223 6348 3661 28879 30776 23765 39781 49264 7413 14711
6932,None
6967,1443 12955 31717 45007 30024 37067 14540 7021 38141 23025 32018 49235 28311 43961 28122 15707 19677
7000,30406 9387 49235 12341 12732 37919
7074,37552 33957 12872 20009 35914 8012 20754 33647 21616 42450 22035 30169 14233
7125,None
7187,35470
7213,30162 12341
7298,45763 24852 19048 10388 45815 42585 7419
7370,19660 42160 24852 4920 33754 48190 35871
7373,None
7387,8193 40706 41860 30982 29672 30635 8277
7508,25638 9387 28782 27378 38739 24852 13966 39993 27196 13790
7594,5240 29019 6244 36431
7617,26209 40002 24964 48679 28842 11440 20114 4605 27344 21681 32433 33497 47156 17461 2326 30391 44632 24852 24253
7669,45066 26723 26604 36685 27845
7671,32842
7683,None
7736,None
7788,28632
7837,26209 14084 27845 47626 39275 5646 45007 27156 44632 3481 25659 26620
7868,24024 30489 33731 260 30480
7908,19348 36011 24852 39877 47630
7909,47144 28204 1511
7982,27521 23044 21560 35594 30489 45 3952 13176 43961 44632 30233 38558
8030,37067
8038,25153 43154 47141 13033
8041,12674 18243 16548 389 25767 47209 45066 12107 26668 1710 44075 21938 19893 43961 13176 48057 46906 9339 33813 17461 16415
8111,14881 21137 26604 9521 40723 42265
8156,29923 47626 3243 32684 31248 14897 3765 36695
8164,27020 20463
8185,5068 15386 5251 48092 1090
8188,24964 27845 33000 45007 13176 49683 47893 24184 21903
8240,9036 12606
8282,1871 31766 13740 44843 28204 28781 8773 45007 34160 21137 35221 47766 34969 26939 19678 48287
8284,20161 22675 21131 15373 49235 4213 16797 6846 33237
8326,44987 45622 42750
8363,42265 32828 32734 42585 8927
8418,None
8450,38620
8458,44371 13259 5157
8514,16768 35776 18146 27272 4138 48559 30776 41110 13176 34137 35951 42442 1118
8608,6402 17027 141 21137 35221 23959 42265 45210 37538 29864 30489 27715 44359 9421 8912 8022 9955 47209 8174 19057 36724 39928 34044
8795,9208 24669 13166 33095
8865,16528
8876,15424 38371 27429 42811 44267 21709 39949 12817 21938 40277 14331 4188
8887,39041 43523 25830 42887 27413 41047
8989,16965 28934 28553 6347 5485 21295 32465 46802 49683 436 34325 8412 42557
9071,21872 29112 37220 24838 35687 9421 26768 30776 13176 19385 18362 36735
9175,11712 5450 24852 27086
9190,21100
9272,33000
9300,47626 21903
9318,None
9356,19008 26209 34658 24964 42736 12138 25552 24852 18232 22292 41787 39837
9391,38444 46822 17415
9427,48776 47083 5716 36005 34551
9446,44449 24964 24489 46667 12204 26604 9390
9503,None
9526,21137
9564,26209 45578 46979 42244 11494 23079 33352 24489 5450 15950 21903 47325 48595 2979 26298 17948 8193 27966
9824,27104 44987 45741
10061,43352 21288 46802 30827
10126,33000 35886 35951
10176,39746 24852 17317
10338,14852 40709 28745 2452 24631 2361 35004
10462,42241 31717 26209 35689 22935 21938 29328 20114 5491 16981 47766 37687 13176
10464,44830
10537,40001 13409 24492 48720 49235 26165 16185 42265 30489
10583,4579 21903 24852 37349 25199
10600,8277 47766
10620,37347 1062 43815 47209 4591 24852 42428 11773 5566
10772,15386
10840,26497 25890 15592 29487 8424 21938 49683 47766 2295 11481 4796
10849,7753 15482 19180
10955,34243 44422 48679 5618 5684 46294 13176 5876 890
11026,12480 45840 29487 33787 47766 12545 4781 40174 31343 25936 33731 43726 9366 23088 13176 48857 18523 16797
11044,15412 541 19045
11145,15097 12140
11224,1090 39877 7559 28204 43726 2130 28597 19895 23576 5785 23645
11326,10369 13447 6348 1935 38033 47766 27705 46045 20574
11408,5025 14947 24964 26209 21709 28849 20114 24852 22935
11518,1244 32747 8174 19057 26940 48600 17980 10749 36606
11549,18656 46667 6218 2295 17872 14678 38647 24184
11556,5428 26165
11606,10768 14161 21610 25274 37449
11623,12576 6724 12683 6348 6128 27060 184 10235 31964
11659,29315 19348 43190 28599
11664,45613
11697,10441 9387 46149
11749,23685 32523 18224 25138 26293 49533
11849,1364 29244 22825
11888,6328 8736 28132
11943,24964 432 24852 47766 8087 12315 11644 15294
11974,38809 7029
11987,28371 32478
11992,None
11994,13634 30827 21292 31860 12341 6615 16797
12054,47626 24235 31372
12184,None
12187,16696 49683 12341
12233,26209 47144 15950 21137 22035 24852 23765 16953 16349 18581
12234,7131 24838
12253,16192 21793 49193
12258,21137 1999 42265 27966 43713
12323,26344 9825 24852 37646 1896
12338,16965 7350 21463
12478,13245 6182
12517,14992 4945 21137 49520 28849 13176 42265
12553,36969 46979 22556 16965 44910
12571,19057 47144 47626 40078 30696 16570 18811 17596
12662,28289 33731 26369 33768 36746 7084 45007 14992 21137 30391 13176 5785 18234 16987 23165 19934
12745,None
12754,24041 45116
12846,None
12881,36865 44422 28204 43662 24852 8309 24024
12891,39408 3689
12894,27288 45541
12938,19048 6081 27571 34270
12948,42633 24852 2966 9076 44570 6046
13003,28289 37538 24195 8518 8424 36861 4562 1364 14778 10749 12031
13024,34216 23192 39877 38622
13040,7120 21497 28842 21938 27845
13085,47209 39475 24852
13128,30146 20697 17706 14947 45066
13132,20838
13160,7936 32553 20842 40396 7021 46226 13176 4605
13188,4656 47209 7781 20327
13195,46979 47630 15727 21137 30391 30489
13210,40706 14084 43014 15592 25513 31562 46906 27247 10736 4562 24184 44570 32303 38557 30975
13241,35121 204
13250,40268 47209 40706 38164 21903
13433,3896
13441,31100 43643 26364 20899
13471,196
13497,9510 39953 18673 47766 24184 19836
13533,44129 43221 16483 196 40261 34280 40348 13578 27179 13388 44142 43409 17795 15924 21397 6166 39796 54 7380 17341 29925
13534,21288
13545,649 19643 43693
13557,26209 4675 9213 47766 3957
